episode,length,duration_s,data_file,start_dev,end_dev,suffix_static,grip_min,grip_max,action_state_mean,action_next_mean,end_j1,end_j2,end_j3,end_j4,end_j5,end_j6
0,150,5.0,0,0.053396083414554596,0.04526717960834503,2,0.0008999999845400453,0.09950000047683716,0.013655745424330235,0.0,-0.19753585755825043,1.5616217851638794,-0.9087626338005066,0.007605583872646093,-0.139639213681221,0.03037000447511673
1,109,3.6333333333333333,0,0.06089700385928154,0.10394007712602615,0,0.09939999878406525,0.09939999878406525,0.015622626058757305,0.0,-0.17724847793579102,1.5564409494400024,-0.9344750642776489,-0.047918666154146194,-0.08121926337480545,0.11211258918046951
2,121,4.033333333333333,0,0.022738255560398102,0.05993759632110596,27,0.09950000047683716,0.09950000047683716,0.014879877679049969,0.0,-0.1915176808834076,1.5734139680862427,-0.8810790181159973,-0.04066196456551552,-0.244843989610672,0.05390195921063423
3,113,3.7666666666666666,0,0.031835298985242844,0.10475994646549225,31,0.09950000047683716,0.09950000047683716,0.015830200165510178,0.0,-0.20268183946609497,1.5559176206588745,-0.8895742297172546,-0.0714331790804863,-0.22274243831634521,0.11293245851993561
4,124,4.133333333333334,1,0.05110219866037369,0.2164974808692932,29,0.09799999743700027,0.09950000047683716,0.014727940782904625,0.0,-0.14398278295993805,1.5915207862854004,-0.8124194145202637,-0.028032507747411728,-0.40140387415885925,0.0
5,148,4.933333333333334,1,0.01764460653066635,0.07643961906433105,27,0.0,0.09950000047683716,0.012725870124995708,0.0,-0.1466691493988037,1.5910671949386597,-0.8824570775032043,-0.04772678390145302,-0.2613460123538971,0.008931327611207962
6,133,4.433333333333334,1,0.022825472056865692,0.16276997327804565,29,0.032099999487400055,0.09950000047683716,0.014179873280227184,0.0,-0.14778557419776917,1.5601215362548828,-0.872967541217804,0.131771981716156,-0.22249822318553925,-0.14818677306175232
7,126,4.2,1,0.007274147123098373,0.04510146379470825,23,0.0778999999165535,0.09939999878406525,0.014325262978672981,0.0,-0.14450609683990479,1.59176504611969,-0.9218804836273193,-0.06089700385928154,-0.16275252401828766,0.05327397584915161
8,107,3.566666666666667,1,0.059597428888082504,0.1169096827507019,19,0.09939999878406525,0.09939999878406525,0.016823839396238327,0.0,-0.24760013818740845,1.60636568069458,-0.9906447529792786,-0.018106872215867043,-0.06799671053886414,0.08657456934452057
9,129,4.3,1,0.029881572350859642,0.6292661428451538,23,0.05550000071525574,0.09950000047683716,0.01755109801888466,0.0,-0.22535903751850128,1.5558477640151978,-0.8758457899093628,0.43139010667800903,-0.2001350075006485,-0.6210936307907104
10,109,3.6333333333333333,1,0.009271485731005669,0.09616004675626755,25,0.09939999878406525,0.09939999878406525,0.017264118418097496,0.0,-0.24908287823200226,1.611406922340393,-0.9423772096633911,-0.09173799306154251,-0.15521670877933502,-0.08798753470182419
11,127,4.233333333333333,1,0.13052473962306976,0.11406631767749786,29,0.0,0.09950000047683716,0.014191449619829655,0.0,-0.22722554206848145,1.5767457485198975,-0.9405804872512817,-0.1450643092393875,-0.149006649851799,0.06074000895023346
12,119,3.966666666666667,2,0.11198175698518753,0.15572258830070496,26,0.06509999930858612,0.09950000047683716,0.014563980512320995,0.0,-0.17838233709335327,1.4862985610961914,-0.9117106795310974,-0.14454098045825958,-0.02918381243944168,0.1631711721420288
13,149,4.966666666666667,2,0.02031353861093521,0.08882486820220947,23,0.0,0.09950000047683716,0.011565371416509151,0.0,-0.17684727907180786,1.502817988395691,-0.8705079555511475,-0.04804077744483948,-0.11870642006397247,0.008303344249725342
14,111,3.7,2,0.037617988884449005,0.0636008232831955,24,0.09950000047683716,0.09950000047683716,0.015694571658968925,0.0,-0.21925362944602966,1.556406021118164,-0.8544943332672119,-0.09459881484508514,-0.22350996732711792,0.03799303248524666
15,119,3.966666666666667,2,0.016432248055934906,0.10451573133468628,32,0.09939999878406525,0.09939999878406525,0.014246469363570213,0.0,-0.19743119180202484,1.5242393016815186,-0.8057209253311157,-0.04306923598051071,-0.24428577721118927,0.008041683584451675
16,146,4.866666666666666,2,0.07576801627874374,0.12077349424362183,28,0.0,0.09950000047683716,0.014000961557030678,0.0,-0.17756247520446777,1.6652216911315918,-1.0310101509094238,0.009402316063642502,-0.11097873002290726,-0.04231914505362511
17,131,4.366666666666666,2,0.06104527786374092,0.11707538366317749,30,0.046300001442432404,0.09950000047683716,0.014526588842272758,0.0,-0.18534250557422638,1.6481789350509644,-1.0273120403289795,0.06222274899482727,-0.10377435386180878,0.007012487854808569
18,122,4.066666666666666,2,0.021874774247407913,0.13898509740829468,24,0.039000000804662704,0.09950000047683716,0.016227353364229202,0.0,-0.1664157658815384,1.6961324214935303,-1.0492217540740967,0.0,-0.127201646566391,0.008425451815128326
19,105,3.5,2,0.03067527338862419,0.11772078275680542,25,0.09939999878406525,0.09939999878406525,0.017421239987015724,0.0,-0.14480264484882355,1.6807817220687866,-1.0279574394226074,-0.03396346792578697,-0.11917740851640701,-0.014059863984584808
20,117,3.9,3,0.081568144261837,0.2408667504787445,31,0.09939999878406525,0.09939999878406525,0.015902068465948105,0.0,-0.14722736179828644,1.6258505582809448,-0.8586809039115906,0.08701067417860031,-0.42577314376831055,-0.04306923598051071
21,123,4.1,3,0.020383313298225403,0.06330427527427673,26,0.03229999914765358,0.09950000047683716,0.017153551802039146,0.0,-0.1874532252550125,1.6395790576934814,-0.9617226123809814,-0.09430226683616638,-0.19987335801124573,0.06237974390387535
22,129,4.3,3,0.0302130077034235,0.0384291335940361,40,0.09950000047683716,0.09950000047683716,0.01463781576603651,0.0,-0.19083735346794128,1.6252400875091553,-0.9244621992111206,0.007431143894791603,-0.22249822318553925,-0.018298756331205368
23,111,3.7,3,0.03726910799741745,0.10534432530403137,31,0.09950000047683716,0.09950000047683716,0.01797502115368843,0.0,-0.16674719750881195,1.6440098285675049,-0.9206594228744507,0.007553251925855875,-0.2902507185935974,-0.041080620139837265
24,122,4.066666666666666,3,0.0005320422351360321,0.04563349485397339,37,0.09950000047683716,0.09950000047683716,0.014674264937639236,0.0,-0.131771981716156,1.610674262046814,-0.9215839505195618,-0.05582080036401749,-0.16993944346904755,0.008530115708708763
25,126,4.2,3,0.0690346285700798,0.07002021372318268,43,0.09950000047683716,0.09950000047683716,0.014150960370898247,0.0,-0.10738526284694672,1.5788912773132324,-0.8973891139030457,-0.009367427788674831,-0.1561238020658493,-0.06072256341576576
26,127,4.233333333333333,3,0.04731684923171997,0.13660398125648499,45,0.09950000047683716,0.09950000047683716,0.014566564001142979,0.0,-0.13231274485588074,1.6131513118743896,-0.8505868911743164,-0.016292696818709373,-0.321510374546051,-0.018159203231334686
27,106,3.533333333333333,3,0.07637855410575867,0.09523551911115646,31,0.09950000047683716,0.09950000047683716,0.016401145607233047,0.0,-0.167950838804245,1.6113371849060059,-0.8708219528198242,0.005372751969844103,-0.2737661302089691,-0.0870630070567131
